Date;Code;PVP;Description1;Description2;Type;
2020/04/12;"00038593";"768.43€";"RJ HEELGUARD AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038590";"1043.09€";"RJ ANTIT AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038363";"19.99€";"CNL GREENLINE AºGº 131X500MM H48";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038360";"22.27€";"CNL GREENLINE AºGº 131X500MM H73";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038364";"30.32€";"CNL GREENLINE AºGº 131X1000MM H48";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038369";"30.81€";"CNL GREENLINE AISI304 131X500MM H48";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038361";"34.50€";"CNL GREENLINE AºGº 131X1000MM H73";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038654";"34.67€";"CNL GREENLINE AºGº 130X500MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038366";"36.50€";"CNL GREENLINE AISI304 131X500MM H73";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038670";"38.00€";"CNL GREENLINE AºGº 130X500MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038365";"49.43€";"CNL GREENLINE AºGº 131X2000MM H48";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038653";"50.77€";"CNL GREENLINE AºGº 130X1000MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038669";"53.23€";"CNL GREENLINE AºGº 130X1000MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038666";"54.75€";"CNL GREENLINE AºGº 130X500MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038370";"54.77€";"CNL GREENLINE AISI304 131X1000MM H48";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038362";"57.75€";"CNL GREENLINE AºGº 131X2000MM H73";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038660";"58.02€";"CNL GREENLINE AºGº 130X500MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038367";"65.68€";"CNL GREENLINE AISI304 131X1000MM H73";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038665";"76.82€";"CNL GREENLINE AºGº 130X1000MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038659";"83.76€";"CNL GREENLINE AºGº 130X1000MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038652";"87.81€";"CNL GREENLINE AºGº 130X2000MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038668";"93.10€";"CNL GREENLINE AºGº 130X2000MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038371";"102.15€";"CNL GREENLINE AISI304 131X2000MM H48";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038368";"125.04€";"CNL GREENLINE AISI304 131X2000MM H73";"GREENLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038664";"140.97€";"CNL GREENLINE AºGº 130X2000MM H50";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038658";"155.68€";"CNL GREENLINE AºGº 130X2000MM H75";"GREENLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038418";"3.00€";"TAPA ROOFLINE AºGº 129MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038419";"3.71€";"TAPA ROOFLINE AºGº 129MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038420";"4.58€";"TAPA ROOFLINE AºGº 129MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00000277";"7.83€";"RJ PAS AºGº 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00000276";"14.80€";"RJ PAS AºGº 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038525";"28.54€";"RJ PERF AºGº 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038430";"34.76€";"RJ ENT 30X10 AºGº 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038376";"34.94€";"CNL ROOFLINE AºGº 100X500MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038380";"35.47€";"CNL ROOFLINE AºGº 129X500MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00000273";"35.76€";"RJ PAS AISI304 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038554";"36.39€";"RJ SLOT AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038432";"36.49€";"RJ ENT 30X10 AºGº 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038556";"36.78€";"RJ SLOT LONG AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038528";"39.82€";"RJ PERF AISI304 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00036975";"39.96€";"RJ PERF AISI304 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038384";"40.56€";"CNL ROOFLINE AºGº 254X500MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00036969";"40.71€";"RJ PERF AºGº 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038388";"41.06€";"CNL ROOFLINE AºGº 100X500MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038524";"41.82€";"RJ PERF AºGº 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038531";"43.32€";"RJ PERF AISI304 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038400";"43.85€";"CNL ROOFLINE AºGº 100X500MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038396";"45.09€";"CNL ROOFLINE AºGº 254X500MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038431";"45.46€";"RJ ENT 30X10 AºGº 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038392";"46.20€";"CNL ROOFLINE AºGº 129X500MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038404";"48.95€";"CNL ROOFLINE AºGº 129X500MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038545";"52.36€";"RJ PERF AISI304 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038377";"52.68€";"CNL ROOFLINE AºGº 100X1000MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038378";"53.49€";"CNL ROOFLINE AISI304 100X500MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038381";"53.71€";"CNL ROOFLINE AºGº 129X1000MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038552";"54.98€";"RJ BAR AºGº 100X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038433";"55.31€";"RJ ENT 30X10 AºGº 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038382";"56.04€";"CNL ROOFLINE AISI304 129X500MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038389";"60.60€";"CNL ROOFLINE AºGº 100X1000MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00036968";"61.26€";"RJ PERF AºGº 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038434";"62.21€";"RJ ENT 30X10 AºGº 250X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038385";"62.36€";"CNL ROOFLINE AºGº 254X1000MM H55-70";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038390";"63.18€";"CNL ROOFLINE AISI304 100X500MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038394";"64.34€";"CNL ROOFLINE AISI304 129X500MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038397";"67.91€";"CNL ROOFLINE AºGº 254X1000MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038555";"68.26€";"RJ SLOT LONG AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038393";"68.53€";"CNL ROOFLINE AºGº 129X1000MM H70-100";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00000272";"68.58€";"RJ PAS AISI304 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038527";"69.39€";"RJ PERF AISI304 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038522";"69.89€";"RJ ENT 30X10 AISI304 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038386";"70.74€";"CNL ROOFLINE AISI304 254X500MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038553";"70.85€";"RJ SLOT AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038530";"71.51€";"RJ PERF AISI304 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00036974";"72.73€";"RJ PERF AISI304 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038401";"73.37€";"CNL ROOFLINE AºGº 100X1000MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038810";"73.39€";"RJ BAR LONG AºGº 100X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038402";"74.09€";"CNL ROOFLINE AISI304 100X500MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038398";"76.25€";"CNL ROOFLINE AISI304 254X500MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038406";"77.42€";"CNL ROOFLINE AISI304 129X500MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038409";"78.58€";"CNL ROOFLINE AºGº 254X1000MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038438";"78.62€";"RJ ENT 30X10 AISI304 100X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038570";"78.98€";"RJ ENT 30X10 AºGº 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038405";"79.17€";"CNL ROOFLINE AºGº 129X1000MM H100-160";"ROOFLINE - AºGº";"CANAL PARA CUBIERTA";
2020/04/12;"00038564";"81.62€";"RJ ANTIT AISI304 100X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038544";"84.84€";"RJ PERF AISI304 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038811";"85.33€";"RJ BAR LONG AºGº 100X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038435";"86.25€";"RJ ENT 30X10 AºGº 250X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00038583";"88.23€";"RJ PERF AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038379";"89.75€";"CNL ROOFLINE AISI304 100X1000MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038410";"92.57€";"CNL ROOFLINE AISI304 254X500MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038383";"94.69€";"CNL ROOFLINE AISI304 129X1000MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038567";"95.54€";"RJ HEELGUARD AISI304 100X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038440";"98.26€";"RJ ENT 30X10 AISI304 130X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038551";"99.85€";"RJ BAR AºGº 100X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00037492";"100.77€";"RJ ANTIT AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038549";"104.73€";"RJ HEELGUARD AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038391";"121.05€";"CNL ROOFLINE AISI304 100X1000MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038387";"122.68€";"CNL ROOFLINE AISI304 254X1000MM H55-70";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038563";"123.42€";"RJ ANTIT AISI304 100X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038439";"124.09€";"RJ ENT 30X10 AISI304 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038395";"126.60€";"CNL ROOFLINE AISI304 129X1000MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038403";"134.55€";"CNL ROOFLINE AISI304 100X1000MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038407";"140.91€";"CNL ROOFLINE AISI304 129X1000MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00038441";"144.00€";"RJ ENT 30X10 AISI304 130X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038399";"145.93€";"CNL ROOFLINE AISI304 254X1000MM H70-100";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00037499";"150.13€";"RJ BAR AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038521";"151.65€";"RJ ENT 30X10 AISI304 100X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038442";"161.26€";"RJ ENT 30X10 AISI304 250X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038571";"163.55€";"RJ ENT 30X10 AºGº 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AºGº";"REJA";
2020/04/12;"00036760";"169.50€";"RJ ENT 30X14 AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038411";"169.85€";"CNL ROOFLINE AISI304 254X1000MM H100-160";"ROOFLINE - AISI304";"CANAL PARA CUBIERTA";
2020/04/12;"00037491";"171.06€";"RJ ANTIT AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038812";"171.37€";"RJ BAR LONG AISI304 130X500MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038566";"173.03€";"RJ HEELGUARD AISI304 100X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038548";"174.30€";"RJ HEELGUARD AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038586";"178.68€";"RJ PERF AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038561";"184.09€";"RJ ENT 30X10 AISI304 250X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00622529";"197.27€";"RJ ENT 30X10 AISI304 200X500MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038573";"247.75€";"RJ ENT 30X10 AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00622528";"252.59€";"RJ ENT 30X10 AISI304 200X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038813";"254.82€";"RJ BAR LONG AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00037498";"256.17€";"RJ BAR AISI304 130X1000MM P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038592";"267.12€";"RJ HEELGUARD AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038443";"294.68€";"RJ ENT 30X10 AISI304 250X1000MM C/FIJ P/CNL PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038589";"314.08€";"RJ ANTIT AISI304 393X393MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038584";"333.79€";"RJ PERF AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038587";"349.66€";"RJ PERF AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038574";"462.55€";"RJ ENT 30X10 AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
2020/04/12;"00038593";"768.43€";"RJ HEELGUARD AISI304 493X493MM P/SUM PROFILINE / ROOFLINE";"PROFILINE / ROOFLINE - AISI304";"REJA";
